epoch,final_output1_dice_coef,final_output1_iou,final_output1_loss,final_output1_sensitivity,final_output1_specificity,final_output2_dice_coef,final_output2_iou,final_output2_loss,final_output2_sensitivity,final_output2_specificity,learning_rate,loss,val_final_output1_dice_coef,val_final_output1_iou,val_final_output1_loss,val_final_output1_sensitivity,val_final_output1_specificity,val_final_output2_dice_coef,val_final_output2_iou,val_final_output2_loss,val_final_output2_sensitivity,val_final_output2_specificity,val_loss
0,0.06527550518512726,0.033982351422309875,1.8181934356689453,0.1656116396188736,0.8418733477592468,0.07174120098352432,0.037460364401340485,1.8029987812042236,0.41093215346336365,0.47555747628211975,9.999999747378752e-05,3.6211934089660645,0.007755284197628498,0.0039021424017846584,1.8481624126434326,0.004301520995795727,0.9964605569839478,0.0817677304148674,0.04278196021914482,1.7914615869522095,0.26225775480270386,0.733925461769104,3.6396243572235107
1,0.01571209728717804,0.007970419712364674,1.817518949508667,0.010627126321196556,0.9900605082511902,0.07673247158527374,0.040111739188432693,1.7868446111679077,0.24332337081432343,0.7292317152023315,9.999999747378752e-05,3.6043639183044434,9.17627548915334e-05,4.588594674714841e-05,1.835674524307251,4.679600169765763e-05,0.999125599861145,0.048249028623104095,0.024813728407025337,1.7990100383758545,0.03838391229510307,0.9744997024536133,3.6346843242645264
2,0.0010831449180841446,0.0005444605485536158,1.770379662513733,0.0005975931999273598,0.9986557960510254,0.020258750766515732,0.010497551411390305,1.7638105154037476,0.021096335723996162,0.9837538003921509,9.999999747378752e-05,3.5341906547546387,5.51736811758019e-05,2.758956361503806e-05,1.7903239727020264,2.8184023904032074e-05,0.998988151550293,8.520636765751988e-05,4.260949935996905e-05,1.7826385498046875,4.366046414361335e-05,0.9987407922744751,3.5729622840881348
3,7.112348976079375e-05,3.5571287298807874e-05,1.7538468837738037,3.642355295596644e-05,0.9989916682243347,0.0002628912916406989,0.00013152365863788873,1.7640645503997803,0.000135770533233881,0.998496413230896,9.999999747378752e-05,3.5179123878479004,5.516973396879621e-05,2.7587584554567002e-05,1.7649980783462524,2.8184023904032074e-05,0.9989848136901855,1.9036800949834287e-05,9.518795195617713e-06,1.7557986974716187,9.663008313509636e-06,0.999156653881073,3.52079701423645
4,5.511187919182703e-05,2.756308276730124e-05,1.744835615158081,2.8202575776958838e-05,0.9990096092224121,6.576990563189611e-05,3.289016603957862e-05,1.7622489929199219,3.339190880069509e-05,0.9991788864135742,9.999999747378752e-05,3.507084608078003,5.070746919955127e-05,2.5356124751851894e-05,1.7536293268203735,2.589602991065476e-05,0.9989978075027466,3.2825050766405184e-06,1.6412835748269572e-06,1.7498699426651,1.6483329545735614e-06,0.9995777010917664,3.5034992694854736
5,7.082975935190916e-05,3.5436387406662107e-05,1.7348686456680298,3.5694061807589605e-05,0.9994803667068481,3.4937329473905265e-05,1.747011992847547e-05,1.7615159749984741,1.7629401554586366e-05,0.9995271563529968,9.999999747378752e-05,3.496384382247925,4.8829584557097405e-05,2.4417025997536257e-05,1.7472690343856812,2.4806999135762453e-05,0.9992420077323914,1.0408758056856815e-11,1.0408758056856815e-11,1.7452739477157593,0.0,0.9996000528335571,3.4925427436828613
6,0.0004286159237381071,0.00021586679213214666,1.7252235412597656,0.00022318121045827866,0.9998146295547485,3.011987791978754e-05,1.5060948499012738e-05,1.7552902698516846,1.5187195458565839e-05,0.9995730519294739,9.999999747378752e-05,3.480513334274292,0.00011022914986824617,5.512666029972024e-05,1.7327005863189697,5.576492549153045e-05,0.9995807409286499,7.768121577100828e-06,3.8842476897116285e-06,1.7340660095214844,3.908813141606515e-06,0.9996023178100586,3.466766834259033
7,0.014990219846367836,0.007869904860854149,1.7042014598846436,0.012181812897324562,0.9966007471084595,7.679643749725074e-05,3.8404312363127246e-05,1.7402276992797852,3.897210262948647e-05,0.9995900392532349,9.999999747378752e-05,3.444427967071533,0.006595407612621784,0.0033262416254729033,1.702528953552246,0.0034343942534178495,0.9993596076965332,3.0442955903708935e-05,1.5223005902953446e-05,1.7082183361053467,1.5320723832701333e-05,0.9996253848075867,3.4107470512390137
8,0.037453703582286835,0.01985616236925125,1.6813188791275024,0.03197827935218811,0.9929144978523254,0.0001734117540763691,8.673254342284054e-05,1.7254407405853271,8.775832975516096e-05,0.9996098279953003,9.999999747378752e-05,3.406759262084961,0.007491682656109333,0.0038101770915091038,1.6927556991577148,0.004030222538858652,0.9994230270385742,7.021934288786724e-05,3.511436443659477e-05,1.6944568157196045,3.5349512472748756e-05,0.9996403455734253,3.3872127532958984
9,0.05285651236772537,0.028379788622260094,1.6661218404769897,0.045403286814689636,0.9917241930961609,0.00041405955562368035,0.00020720258180517703,1.7165777683258057,0.00020972010679543018,0.9996753931045532,9.999999747378752e-05,3.3826987743377686,0.02341950498521328,0.012070273980498314,1.6765317916870117,0.013304434716701508,0.9981282949447632,6.71466623316519e-05,3.357755849719979e-05,1.6866028308868408,3.366041710251011e-05,0.9999102354049683,3.3631343841552734
